tool,workload,total,genuine
VeriEQL-RQ1,LeetCode,3586,3584
VeriEQL-RQ1,Calcite,4,4
VeriEQL-RQ1,Literature,29,29
VeriEQL-RQ2,LeetCode,11390,2754
VeriEQL-RQ2,Calcite,23,1
VeriEQL-RQ2,Literature,33,29
Cosette-RQ1,LeetCode,0,0
Cosette-RQ1,Calcite,0,0
Cosette-RQ1,Literature,33,17
Cosette-RQ2,LeetCode,0,0
Cosette-RQ2,Calcite,1,0
Cosette-RQ2,Literature,39,17
Qex-RQ1,LeetCode,0,0
Qex-RQ1,Calcite,0,0
Qex-RQ1,Literature,27,14
Qex-RQ2,LeetCode,0,0
Qex-RQ2,Calcite,1,0
Qex-RQ2,Literature,33,14
DataFiller-RQ1,LeetCode,110,110
DataFiller-RQ1,Calcite,3,3
DataFiller-RQ1,Literature,21,21
DataFiller-RQ2,LeetCode,9068,110
DataFiller-RQ2,Calcite,25,0
DataFiller-RQ2,Literature,24,21
XData-RQ1,LeetCode,0,0
XData-RQ1,Calcite,0,0
XData-RQ1,Literature,1,1
XData-RQ2,LeetCode,0,0
XData-RQ2,Calcite,11,0
XData-RQ2,Literature,1,1