tool,workload,unsupported,checked,not checked
VeriEQL,LeetCode,5503,14905,3586
VeriEQL,Calcite,132,261,4
VeriEQL,Literature,1,34,29
Cosette,LeetCode,23994,0,0
Cosette,Calcite,397,0,0
Cosette,Literature,8,23,33
Qex,LeetCode,23994,0,0
Qex,Calcite,397,0,0
Qex,Literature,8,29,27
SPES,LeetCode,23739,52,203
SPES,Calcite,397,0,0
SPES,Literature,33,8,23
HoTTSQL,LeetCode,23994,0,0
HoTTSQL,Calcite,397,0,0
HoTTSQL,Literature,43,21,0
DataFiller,LeetCode,10722,13162,110
DataFiller,Calcite,0,394,3
DataFiller,Literature,0,43,21
XData,LeetCode,19028,2927,0
XData,Calcite,397,0,0
XData,Literature,26,37,1