time,event
0.292,counterexample
0.444,counterexample
0.531,counterexample
0.646,counterexample
0.665,counterexample
0.68,counterexample
0.691,counterexample
0.823,counterexample
0.871,counterexample
0.951,counterexample
0.986,counterexample
0.993,counterexample
0.999,counterexample
1.022,counterexample
1.042,counterexample
1.061,counterexample
1.105,counterexample
1.165,counterexample
1.175,counterexample
1.475,counterexample
1.692,counterexample
1.792,counterexample
1.926,counterexample
1.987,counterexample
3.318,counterexample
5.215,counterexample
10.184,counterexample
36.571,counterexample
86.928,counterexample